,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
ABT.263..Navitoclax.,99.97175,99.70097,99.24326,99.55017,99.86495,99.9761,99.97894,99.67278,98.97871,98.9845,97.17354,96.90504,96.69125,95.27817,93.64575,92.39555,93.89257,90.57478,90.08337,89.45518,89.54298,90.21206,88.46526,88.33823,95.3573275,88.33823,99.97894,4388.84174,12,46,11.64071,-11.63352,0.748510000000003,31,-1.658895,33
Clofarabine,99.59223,99.74483,99.60757,99.61344,99.64749,99.34362,99.0676,99.30765,99.21266,99.44068,99.71181,99.79111,99.87186,99.97933,99.87048,99.85052,99.89285,99.73999,99.62181,99.37119,99.57256,98.83723,99.12287,98.87923,99.5287754166667,98.83723,99.97933,4578.90976,26,42,1.1421,-0.712999999999994,0.14282,43,-0.367664999999995,41
BEZ235..NVP.BEZ235..Dactolisib.,99.33106,99.51708,99.52979,99.88831,100,100,100,100,100,99.9522,99.95157,99.90101,99.81204,99.91081,99.78952,99.96041,99.80167,99.90218,99.68321,99.63195,99.03652,99.19727,99.01035,98.70585,99.6880333333333,98.70585,100,4586.98869,8,46,1.29415,-0.625209999999996,0.179259999999999,5,-0.297715000000004,39
KU.0063794,99.65012,99.88001,99.84139,99.88657,99.79469,99.96794,99.97913,99.85915,99.82123,99.80319,99.84858,99.78241,99.69785,99.84589,99.76134,99.76887,99.65018,99.69986,99.65268,99.50638,98.84725,97.78977,98.52695,97.6682,99.5220679166667,97.6682,99.97913,4579.74094,12,46,2.31093,-1.98192,0.368589999999998,43,-0.528739999999999,41
PD184352..CI.1040.,99.81735,99.75332,99.85362,99.95579,99.76569,99.69703,99.72009,99.76452,99.65704,99.54749,99.56509,99.43502,99.58091,99.59402,99.62794,99.6459,99.56467,99.6991,99.65184,99.64086,99.16576,99.13896,98.15291,97.72505,99.4883320833333,97.72505,99.95579,4577.89754,6,46,2.23074,-2.09230000000001,0.0729450000000043,23,-0.493024999999996,43
Temozolomide,99.80617,99.91524,99.97562,99.88062,99.83049,99.86135,99.77446,99.70891,99.61723,99.48227,99.49953,99.52869,99.59756,99.60985,99.48123,99.41189,99.62139,99.33569,99.59148,99.30363,98.89691,98.67538,99.1293,97.87507,99.475415,97.87507,99.97562,4577.13868,4,46,2.10055000000001,-1.9311,0.226959999999998,43,-0.627115000000003,45
Motesanib.Diphosphate..AMG.706.,99.6332,99.67506,99.66332,99.74448,99.57062,99.63845,99.549,99.25529,99.14545,99.3752,99.38556,99.19098,99.47342,99.21039,99.49865,99.72112,99.48434,99.38004,99.4938,98.42879,97.43465,97.23294,98.39307,96.26762,99.0768933333333,96.26762,99.74448,4559.79006,6,46,3.47686,-3.36558000000001,0.580064999999998,43,-1.062725,45
Dienogest,99.83443,99.94589,100,99.94874,99.84098,99.83945,99.85921,99.8693,99.72742,99.8302,99.59908,99.54803,99.34958,99.34053,99.27794,99.29528,99.40022,99.06388,98.99695,98.57136,98.51996,98.31675,97.87859,96.8924,99.2810904166667,96.8924,100,4568.76551,4,46,3.10760000000001,-2.94203,0.0557300000000041,1,-0.493095000000004,45
STF.62247,99.96228,99.87759,99.72977,99.76672,99.61607,99.50153,99.47758,99.36069,99.32283,99.18758,99.29577,99.25059,99.35855,99.6075,99.44856,99.62014,99.50838,99.37126,99.28664,99.21757,98.91343,99.09779,98.93961,99.35869,99.41988,98.91343,99.96228,4572.83327,0,40,1.04885,-0.603590000000011,0.209539999999997,45,-0.152069999999995,39
Celecoxib,99.86495,99.86446,99.80775,99.65392,99.88104,99.64169,99.77205,99.71871,99.69184,99.63278,99.83104,99.87849,99.93036,99.91855,99.95676,99.95985,99.97955,99.97894,99.95441,99.94612,99.90128,99.94086,99.9229,99.97582,99.858505,99.63278,99.97955,4593.36747,32,18,0.346770000000006,0.110870000000006,0.11356,7,-0.119675000000001,9
