"","Compound","Catalog.No.","Rack.Number","M.w.","CAS.Number","Form","Targets..as.supplied.","Target.class..11Mar15.","Molecule.Type","Target.Species","Target.Type","Information","Smiles","Max.Solubility.in.DMSO","URL","Pathway","Plate","Position","Screen","phenotypic_Marker","NA","Elapsed","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46","phenotypic_Marker","NA","Elapsed","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46"
"1","ABT-263 (Navitoclax)","S1001","L1700-01",974.61,"923564-51-6","free base","Bcl-2","BCL2","Synthetic small molecule","Mammalian","Cell death protein","ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL, Bcl-2 and Bcl-w with Ki of ≤ 0.5 nM, ≤1 nM and ≤1 nM, but binds more weakly to Mcl-1 and A1. Phase 1/2.","C1=CC(=CC=C1C2=C(CC(CC2)(C)C)CN3CCN(CC3)C4=CC=C(C=C4)C(NS(C5=CC(=C(C=C5)N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)S(C(F)(F)F)(=O)=O)(=O)=O)=O)Cl",102,"http://www.selleckchem.com/products/ABT-263.html","Apoptosis",1,"a1","C2C12 Diff Tunicamycin","Con",NA,"A1","99.97175","99.70097","99.24326","99.55017","99.86495","99.9761","99.97894","99.67278","98.97871","98.9845","97.17354","96.90504","96.69125","95.27817","93.64575","92.39555","93.89257","90.57478","90.08337","89.45518","89.54298","90.21206","88.46526","88.33823","SG",NA,"A1","53.83534","78.43253","82.1453","169.8598","386.1293","558.7737","661.3393","674.7982","680.3673","652.5215","629.7807","618.6423","624.2115","634.4216","644.1677","655.7701","663.6598","677.5828","674.7982","673.8699","678.5109","681.2955","680.8314","699.8594"
"2","Clofarabine","S1218","L1700-03",303.68,"123318-82-1","free base","DNA/RNA Synthesis","DNA/RNA Metabolism","","Mammalian","Nucleic acid metabolism","Clofarabine inhibits the enzymatic activities of ribonucleotide reductase (IC50 = 65 nM) and DNA polymerase.","N1=C(N=C2C(=C1N)N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl",200,"http://www.selleckchem.com/products/Clofarabine.html","DNA Damage",1,"a2","C2C12 Diff Tunicamycin","Con",NA,"A2","99.59223","99.74483","99.60757","99.61344","99.64749","99.34362","99.0676","99.30765","99.21266","99.44068","99.71181","99.79111","99.87186","99.97933","99.87048","99.85052","99.89285","99.73999","99.62181","99.37119","99.57256","98.83723","99.12287","98.87923","SG",NA,"A2","58.94042","60.33271","62.1891","62.1891","60.33271","64.04549","68.68647","81.21711","81.68121","108.1348","131.3397","171.7162","224.1592","252.0051","277.5305","288.6688","299.8072","300.2713","305.8404","313.7301","297.0226","297.9508","294.238","286.8124"
"3","BEZ235 (NVP-BEZ235, Dactolisib)","S1009","L1700-01",469.55,"915019-65-7","free base","PI3K,ATM/ATR,mTOR","PI3K/MTOR,ATR","Synthetic small molecule","Mammalian","Kinase","BEZ235 (NVP-BEZ235) is a dual ATP-competitive PI3K and mTOR inhibitor for p110α/γ/δ/β and mTOR(p70S6K) with IC50 of 4 nM/5 nM/7 nM/75 nM/6 nM, respectively. Inhibits ATR with IC50 of 21 nM; shown to be poor inhibitory to Akt and PDK1. Phase 1/2.","C12=CN=C3C(=C1N(C(N2C)=O)C4=CC=C(C=C4)C(C#N)(C)C)C=C(C=C3)C5=CC6=C(N=C5)C=CC=C6",10,"http://www.selleckchem.com/products/BEZ235.html","PI3K/Akt/mTOR",1,"a3","C2C12 Diff Tunicamycin","Con",NA,"A3","99.33106","99.51708","99.52979","99.88831","100","100","100","100","100","99.9522","99.95157","99.90101","99.81204","99.91081","99.78952","99.96041","99.80167","99.90218","99.68321","99.63195","99.03652","99.19727","99.01035","98.70585","SG",NA,"A3","64.04549","70.07877","72.39925","74.71974","101.6374","160.1137","213.0209","231.1207","237.6181","254.3256","279.3869","307.2327","340.6478","368.0295","401.9087","413.9752","452.0312","465.9542","495.1923","505.4025","529.0715","540.6739","535.5688","549.4918"
"4","KU-0063794","S1226","L1700-03",465.54,"938440-64-3","free base","mTOR","MTOR","Synthetic small molecule","Mammalian","Kinase","KU-0063794 is a potent and highly specific dual-mTOR inhibitor of mTORC1 and mTORC2 with IC50 of ~10 nM; no effect on PI3Ks.","N1=C(N=C2C(=C1N3CCOCC3)C=CC(=N2)C4=CC(=C(C=C4)OC)CO)N5C[C@H](O[C@H](C5)C)C",34,"http://www.selleckchem.com/products/KU-0063794.html","PI3K/Akt/mTOR",1,"a4","C2C12 Diff Tunicamycin","Con",NA,"A4","99.65012","99.88001","99.84139","99.88657","99.79469","99.96794","99.97913","99.85915","99.82123","99.80319","99.84858","99.78241","99.69785","99.84589","99.76134","99.76887","99.65018","99.69986","99.65268","99.50638","98.84725","97.78977","98.52695","97.6682","SG",NA,"A4","84.00169","93.28365","93.28365","85.85809","114.1681","139.2293","170.788","197.2415","235.2976","276.1382","334.1504","397.2677","481.2694","543.9226","608.4322","676.1904","718.8875","749.0538","773.1869","792.2149","806.6019","809.8506","814.4916","832.1273"
"5","PD184352 (CI-1040)","S1020","L1700-01",478.67,"212631-79-3","free base","MEK","MEK","Synthetic small molecule","Mammalian","Kinase","CI-1040 (PD 184352) is an ATP non-competitive MEK1/2 inhibitor with IC50 of 17 nM, 100-fold more selective for MEK1/2 than MEK5. Phase 2.","C1=C(C(=C(C(=C1)C(NOCC2CC2)=O)NC3=CC=C(C=C3Cl)I)F)F",200,"http://www.selleckchem.com/products/CI-1040-(PD184352).html","MAPK",1,"a5","C2C12 Diff Tunicamycin","Con",NA,"A5","99.81735","99.75332","99.85362","99.95579","99.76569","99.69703","99.72009","99.76452","99.65704","99.54749","99.56509","99.43502","99.58091","99.59402","99.62794","99.6459","99.56467","99.6991","99.65184","99.64086","99.16576","99.13896","98.15291","97.72505","SG",NA,"A5","90.96317","96.53233","91.42726","92.81956","107.6707","146.6549","172.6444","186.1032","191.6724","204.6671","218.1259","236.2258","287.7406","336.4709","382.8806","404.2292","416.7598","419.0803","414.4393","411.1906","405.1573","400.5164","383.8089","380.5602"
"6","Temozolomide","S1237","L1700-03",194.15,"85622-93-1","free base","Autophagy","DNA/RNA Metabolism","","Mammalian","Nucleic acid metabolism","Temozolomide is a DNA damage inducer.","N1(N=NC2N(C1=O)C=NC=2C(N)=O)C",200,"http://www.selleckchem.com/products/Methazolastone.html","Ubiquitin",1,"a6","C2C12 Diff Tunicamycin","Con",NA,"A6","99.80617","99.91524","99.97562","99.88062","99.83049","99.86135","99.77446","99.70891","99.61723","99.48227","99.49953","99.52869","99.59756","99.60985","99.48123","99.41189","99.62139","99.33569","99.59148","99.30363","98.89691","98.67538","99.1293","97.87507","SG",NA,"A6","126.6987","125.7705","116.9526","103.9579","91.89136","104.8861","132.2679","152.6882","149.9036","151.2959","165.6829","193.5288","221.3746","247.3641","275.21","280.3151","306.3045","303.984","308.1609","294.238","285.8842","271.4972","259.4307","246.4359"
"7","Motesanib Diphosphate (AMG-706)","S1032","L1700-01",569.44,"857876-30-3","diphosphate","VEGFR,PDGFR,c-Kit","VEGFR,KIT","Synthetic small molecule","Mammalian","Kinase","Motesanib Diphosphate (AMG-706) is a potent ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 2 nM/3 nM/6 nM, respectively; similar activity against Kit, ~10-fold more selective for VEGFR than PDGFR and Ret. Phase 1/2.","C1(=CN=CC=C1CNC2=C(C=CC=N2)C(=O)NC3=CC=C4C(=C3)NCC4(C)C).P(O)(=O)(O)O.P(O)(=O)(O)O",175,"http://www.selleckchem.com/products/Motesanib-Diphosphate.html","Protein Tyrosine Kinase",1,"a7","C2C12 Diff Tunicamycin","Con",NA,"A7","99.6332","99.67506","99.66332","99.74448","99.57062","99.63845","99.549","99.25529","99.14545","99.3752","99.38556","99.19098","99.47342","99.21039","99.49865","99.72112","99.48434","99.38004","99.4938","98.42879","97.43465","97.23294","98.39307","96.26762","SG",NA,"A7","99.31693","101.1733","103.4938","84.92989","72.86335","68.22237","71.93516","83.0735","99.78102","108.1348","136.4447","179.6058","235.2976","272.8895","287.7406","297.4867","309.5532","314.6583","304.4482","298.879","290.0611","261.7511","239.4744","237.6181"
"8","Dienogest","S1251","L1700-03",311.42,"65928-58-7","free base","Estrogen/progestogen Receptor","Estrogen/progesterone receptor","Synthetic small molecule","Mammalian","Receptor","Dienogest is an orally active synthetic progesterone (or progestin). ","C1(CCC2=C3CC[C@]4([C@](CC[C@@]([C@](CCC(=C1)2)3[H])4[H])(O)CC#N)C)=O",199,"http://www.selleckchem.com/products/Dienogest.html","Endocrinology &amp; Hormones",1,"a8","C2C12 Diff Tunicamycin","Con",NA,"A8","99.83443","99.94589","100","99.94874","99.84098","99.83945","99.85921","99.8693","99.72742","99.8302","99.59908","99.54803","99.34958","99.34053","99.27794","99.29528","99.40022","99.06388","98.99695","98.57136","98.51996","98.31675","97.87859","96.8924","SG",NA,"A8","92.35545","106.2784","97.46053","101.6374","109.5271","120.2013","145.2626","165.2188","172.6444","190.7442","219.5182","243.1872","262.2152","275.6741","293.7739","306.7686","306.3045","318.3711","321.1557","316.5147","323.0121","305.8404","300.7354","289.1329"
"9","STF-62247","S1041","L1700-01",267.35,"315702-99-9","free base","Others","Other","Synthetic small molecule","Mammalian","Metabolism-related","STF-62247 shows selectivtoxicity and growth inhibition of renal cells lacking VHL; 25-fold greater sensitivity observed for cells with VHL deficiency compared to wild-type (VHL+).","N1=CC=C(C=C1)C2=CSC(=N2)NC3=CC=CC(=C3)C",198,"http://www.selleckchem.com/products/STF-62247.html","Others",1,"a9","C2C12 Diff Tunicamycin","Con",NA,"A9","99.96228","99.87759","99.72977","99.76672","99.61607","99.50153","99.47758","99.36069","99.32283","99.18758","99.29577","99.25059","99.35855","99.6075","99.44856","99.62014","99.50838","99.37126","99.28664","99.21757","98.91343","99.09779","98.93961","99.35869","SG",NA,"A9","87.25038","94.67594","85.85809","81.68121","72.86335","75.18384","87.25038","102.5656","109.5271","114.6321","125.3064","137.3729","143.8703","147.5831","167.0752","174.9649","182.8545","186.5673","202.8107","213.9491","216.7337","216.7337","209.3081","220.9105"
"10","Celecoxib","S1261","L1700-03",381.37,"169590-42-5","free base","COX","COX","","Mammalian","Metabolism-related","Celecoxib is a selective COX-2 inhibitor with IC50 of 40 nM.","C1(=CC=C(C=C1)S(N)(=O)=O)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)C",199,"http://www.selleckchem.com/products/Celecoxib.html","Neuronal Signaling",1,"a10","C2C12 Diff Tunicamycin","Con",NA,"A10","99.86495","99.86446","99.80775","99.65392","99.88104","99.64169","99.77205","99.71871","99.69184","99.63278","99.83104","99.87849","99.93036","99.91855","99.95676","99.95985","99.97955","99.97894","99.95441","99.94612","99.90128","99.94086","99.9229","99.97582","SG",NA,"A10","101.1733","110.9194","99.31693","91.89136","90.49906","94.21185","102.5656","112.7758","117.8808","118.809","144.3344","174.5008","226.4797","261.287","283.5638","313.266","328.1171","333.2222","343.8965","332.7581","301.6635","291.4534","263.6075","260.3589"
"11","Y-27632 2HCl","S1049","L1700-01",320.26,"129830-38-2","dihydrochloric","Autophagy,ROCK","ROCK1","Synthetic small molecule","Mammalian","Kinase","Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM, exhibits &gt;200-fold selectivity over other kinases, including PKC, cAMP-dependent protein kinase, MLCK and PAK.","[C@@H]1(CC[C@@H](CC1)[C@@H](C)N)C(=O)NC2(C=CN=CC=2).Cl.Cl",199,"http://www.selleckchem.com/products/Y-27632.html","Cell Cycle",1,"a11","C2C12 Diff Tunicamycin","Con",NA,"A11","99.89589","99.97976","100","100","99.97685","99.97783","100","99.97575","100","99.97692","99.97167","100","99.88719","99.89002","99.95938","99.95282","99.93983","99.90763","99.94888","99.9238","99.97768","100","99.89845","99.89051","SG",NA,"A11","99.78102","108.1348","115.5603","110.4553","98.85282","117.4167","129.0192","138.7652","142.0139","157.3291","174.0367","201.4184","231.5848","252.4692","275.6741","255.7179","256.182","254.7897","238.0822","218.1259","210.2363","198.6339","189.816","187.9596"
"12","Adapalene","S1276","L1700-03",412.52,"106685-40-9","free base","Others","Other","Synthetic small molecule","Mammalian","Other","Adapalene is a third-generation topical retinoid primarily used in the treatment of acne.","C1(=C(C=CC(=C1)C2=CC3=C(C=C2)C=C(C=C3)C(O)=O)OC)C45CC6CC(C4)CC(C5)C6",19,"http://www.selleckchem.com/products/Adapalene.html","Others",1,"a12","C2C12 Diff Tunicamycin","Con",NA,"A12","99.87566","99.90308","99.87614","99.96725","99.81735","99.79462","99.55673","99.4735","99.38551","99.37899","99.49594","99.01615","98.77348","99.16673","99.16266","99.56641","99.08266","99.6017","99.17854","99.38985","99.15996","99.02091","98.72416","98.54277","SG",NA,"A12","83.5376","85.39399","78.43253","76.57613","78.89662","102.5656","123.9141","142.478","162.8983","177.7495","193.9929","206.0594","210.2363","237.6181","257.5742","275.21","285.8842","291.4534","282.1714","294.238","290.9893","293.3098","310.4814","309.5532"
