"","names","Catalog.No.","Rack.Number","M.w.","CAS.Number","Form","Targets..as.supplied.","Target.class..11Mar15.","Molecule.Type","Target.Species","Target.Type","Information","Smiles","Max.Solubility.in.DMSO","URL","Pathway","Plate","Position","Screen","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70","72","76","78","80","82","84","86","88","90","92","94","96","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70","72","76","78","80","82","84","86","88","90","92","94","96","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70","72","76","78","80","82","84","86","88","90","92","94","96"
"ABT-263 (Navitoclax)","ABT-263 (Navitoclax)","S1001","L1700-01",974.61,"923564-51-6","free base","Bcl-2","BCL2","Synthetic small molecule","Mammalian","Cell death protein","ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL, Bcl-2 and Bcl-w with Ki of ≤ 0.5 nM, ≤1 nM and ≤1 nM, but binds more weakly to Mcl-1 and A1. Phase 1/2.","C1=CC(=CC=C1C2=C(CC(CC2)(C)C)CN3CCN(CC3)C4=CC=C(C=C4)C(NS(C5=CC(=C(C=C5)N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)S(C(F)(F)F)(=O)=O)(=O)=O)=O)Cl",102,"http://www.selleckchem.com/products/ABT-263.html","Apoptosis",1,"a1","C2C12 Diff Tunicamycin","Con",53.52337,58.46175,63.6582,66.65969,66.14687,65.33294,61.15232,57.87558,54.94649,52.40128,48.87468,47.10785,45.68882,43.35228,40.52987,37.46181,36.79909,34.36602,33.13052,31.05693,30.73462,30.50736,29.21453,28.3214,27.60376,27.27834,27.9099,26.77829,26.95871,26.72138,26.37344,25.74865,26.01549,26.11543,25.39829,25.57085,25.59757,24.28209,23.87924,24.38004,24.16342,24.43129,24.28147,23.76222,24.47654,24.68355,24.71679,24.02679,"SG",0.4640978,0.9281955,0.9281955,1.392293,5.105075,7.889662,19.9562,34.34324,38.05602,37.12782,51.97895,54.76354,65.90189,100.2451,117.4167,160.5778,197.2415,231.1207,263.6075,297.4867,318.8352,353.1784,358.7476,382.4166,371.2782,391.2344,383.3448,376.8474,394.4831,411.6547,427.4341,426.0417,430.2186,446.4621,427.8981,453.4235,453.4235,456.2081,419.5444,449.2466,460.8491,450.1748,450.6389,471.0592,471.0592,472.4515,484.054,492.8718,"NLS",610.7527,679.9033,708.2132,762.0485,816.348,864.6141,886.4268,911.0239,932.8365,949.08,964.3951,967.1797,978.3181,995.4897,968.108,929.1237,921.2341,898.9574,886.4268,858.1168,809.3865,788.5021,738.8436,725.3848,676.1904,674.7982,647.4164,625.6038,631.6371,607.9681,598.222,563.8788,569.4479,556.4532,531.392,542.0662,514.2203,519.3254,486.3745,491.0154,490.0872,487.3026,483.1258,467.8105,458.9927,463.6337,475.7002,452.0312
"Clofarabine","Clofarabine","S1218","L1700-03",303.68,"123318-82-1","free base","DNA/RNA Synthesis","DNA/RNA Metabolism","","Mammalian","Nucleic acid metabolism","Clofarabine inhibits the enzymatic activities of ribonucleotide reductase (IC50 = 65 nM) and DNA polymerase.","N1=C(N=C2C(=C1N)N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl",200,"http://www.selleckchem.com/products/Clofarabine.html","DNA Damage",1,"a2","C2C12 Diff Tunicamycin","Con",50.31554,56.87657,61.79357,65.24085,66.8859,66.41046,64.58179,61.72309,59.09538,57.24535,55.09359,53.4168,52.64471,51.86712,52.02316,51.62819,52.20282,51.65658,50.51204,49.80333,49.01234,48.52551,47.85733,46.48478,47.00554,46.92424,46.47643,47.03733,47.13203,47.29346,48.67484,46.42324,47.27604,47.00465,46.70045,47.46331,47.16849,48.31773,46.36894,46.56836,45.20169,46.54786,46.42192,46.41869,44.82869,44.45041,44.53201,44.75174,"SG",0.4640978,0.4640978,0.9281955,1.392293,1.392293,1.392293,2.320489,2.784587,3.712782,6.033271,6.033271,5.105075,6.497369,8.817858,13.45884,17.63572,27.84587,39.91241,47.33797,70.54286,91.42726,105.8143,124.3782,144.7985,168.0034,190.7442,213.0209,232.9771,252.9333,273.3536,300.7354,303.984,326.7248,316.9788,324.4043,348.0733,349.4656,374.0628,379.1679,394.019,396.3395,394.019,394.4831,409.3342,399.1241,399.5882,404.6933,385.6653,"NLS",577.3376,624.6756,672.0135,697.0748,751.8384,801.0328,840.017,886.8908,924.9468,943.5107,968.108,970.8925,972.2849,964.3951,983.4232,979.2463,985.2795,992.7051,973.6771,969.5002,963.467,946.7595,932.3724,901.7419,882.7139,872.5038,831.6632,826.0941,792.2149,758.3358,753.2307,722.1361,710.5337,683.1519,664.588,651.1292,650.201,616.3218,614.9296,581.0504,571.3044,557.3814,550.42,542.9944,501.6897,500.2974,490.0872,490.0872
"BEZ235 (NVP-BEZ235, Dactolisib)","BEZ235 (NVP-BEZ235, Dactolisib)","S1009","L1700-01",469.55,"915019-65-7","free base","PI3K,ATM/ATR,mTOR","PI3K/MTOR,ATR","Synthetic small molecule","Mammalian","Kinase","BEZ235 (NVP-BEZ235) is a dual ATP-competitive PI3K and mTOR inhibitor for p110α/γ/δ/β and mTOR(p70S6K) with IC50 of 4 nM/5 nM/7 nM/75 nM/6 nM, respectively. Inhibits ATR with IC50 of 21 nM; shown to be poor inhibitory to Akt and PDK1. Phase 1/2.","C12=CN=C3C(=C1N(C(N2C)=O)C4=CC=C(C=C4)C(C#N)(C)C)C=C(C=C3)C5=CC6=C(N=C5)C=CC=C6",10,"http://www.selleckchem.com/products/BEZ235.html","PI3K/Akt/mTOR",1,"a3","C2C12 Diff Tunicamycin","Con",52.87861,55.99871,58.40621,61.44472,63.09427,62.40793,62.9568,61.9277,60.97485,58.77349,54.74453,53.58071,52.66571,49.57057,49.4005,47.85033,48.23682,43.82771,45.09705,43.49572,43.65523,43.44828,42.76421,42.00674,43.4585,44.11901,42.1652,41.81274,42.26229,42.15897,41.39893,38.9702,42.10971,42.44751,41.04712,42.7636,42.48557,40.56048,41.33601,42.4736,41.37075,42.75945,44.18103,44.70029,42.94608,42.48067,42.76117,42.92363,"SG",0,1.856391,1.856391,3.248684,5.569173,6.497369,8.35376,13.45884,19.9562,24.13308,30.16636,35.73553,45.94568,59.40451,87.71448,114.1681,151.76,186.5673,220.9105,250.6128,274.2818,285.8842,289.1329,295.6303,311.8737,315.1224,304.4482,298.879,309.0891,313.266,310.0173,289.1329,305.8404,313.7301,320.2274,328.5812,338.3273,344.8246,357.8194,363.3885,362.4604,382.4166,378.2397,379.632,390.3062,384.2729,403.301,404.6933,"NLS",523.5023,552.2764,587.5478,619.1064,670.6213,719.3516,787.1098,814.0275,835.8401,859.5091,880.3935,898.0292,887.3549,897.5651,911.488,909.1675,894.7805,884.5704,861.3655,842.3375,805.6737,811.707,801.4968,788.9662,783.8611,746.2692,716.1028,701.2517,709.6055,701.7158,670.6213,641.8472,659.0189,647.4164,644.1677,652.0574,649.7369,628.3884,638.5985,644.1677,640.4549,637.6703,595.4374,597.2938,577.3376,577.3376,588.476,552.7404
"KU-0063794","KU-0063794","S1226","L1700-03",465.54,"938440-64-3","free base","mTOR","MTOR","Synthetic small molecule","Mammalian","Kinase","KU-0063794 is a potent and highly specific dual-mTOR inhibitor of mTORC1 and mTORC2 with IC50 of ~10 nM; no effect on PI3Ks.","N1=C(N=C2C(=C1N3CCOCC3)C=CC(=N2)C4=CC(=C(C=C4)OC)CO)N5C[C@H](O[C@H](C5)C)C",34,"http://www.selleckchem.com/products/KU-0063794.html","PI3K/Akt/mTOR",1,"a4","C2C12 Diff Tunicamycin","Con",49.32146,56.61568,60.60724,64.16756,68.50808,67.52507,68.38463,69.43121,69.50052,69.23158,66.94719,67.04208,66.8685,66.55599,67.93849,68.78778,69.58437,69.05304,70.28542,72.14867,72.70156,73.17425,73.15076,76.02654,76.90463,79.29044,78.76325,81.55717,82.49205,83.97649,86.39417,86.15432,88.73784,90.53028,91.87789,92.9925,94.24368,95.46736,96.6523,97.18238,97.13085,97.26941,98.03492,98.20264,98.3774,98.75491,99.2061,99.44033,"SG",0.4640978,0.9281955,2.784587,3.248684,3.248684,3.248684,4.640978,6.497369,6.961466,7.425564,7.425564,6.497369,8.817858,8.35376,10.21015,12.99474,17.63572,17.63572,20.4203,29.23816,39.44831,58.94042,73.79154,84.4658,90.03497,97.46053,117.4167,144.3344,147.5831,162.8983,178.2135,186.5673,206.0594,217.1978,222.3028,233.4412,233.4412,257.5742,259.4307,277.5305,284.4919,293.3098,300.2713,306.7686,310.4814,317.4429,322.5479,329.5094,"NLS",540.2098,600.0784,635.3499,673.8699,730.954,753.6948,788.038,846.0502,871.5756,919.8418,927.7314,954.6491,960.2183,953.7209,978.3181,994.0974,1002.451,997.3461,1032.618,1040.971,1050.717,1088.309,1092.95,1120.796,1139.36,1156.532,1180.665,1193.659,1231.715,1245.174,1288.8,1287.871,1342.171,1386.26,1397.398,1467.477,1496.715,1573.291,1631.768,1700.454,1730.156,1809.053,1857.783,1910.226,1946.426,2030.428,2049.456,2134.85
"PD184352 (CI-1040)","PD184352 (CI-1040)","S1020","L1700-01",478.67,"212631-79-3","free base","MEK","MEK","Synthetic small molecule","Mammalian","Kinase","CI-1040 (PD 184352) is an ATP non-competitive MEK1/2 inhibitor with IC50 of 17 nM, 100-fold more selective for MEK1/2 than MEK5. Phase 2.","C1=C(C(=C(C(=C1)C(NOCC2CC2)=O)NC3=CC=C(C=C3Cl)I)F)F",200,"http://www.selleckchem.com/products/CI-1040-(PD184352).html","MAPK",1,"a5","C2C12 Diff Tunicamycin","Con",48.77107,55.04097,61.06702,65.03017,66.72731,66.51027,63.4149,61.33331,56.88978,54.61689,50.25232,49.1101,48.50188,45.53182,46.5906,46.80592,46.0382,45.74035,46.71839,46.58682,47.82465,47.96481,48.19385,48.73645,49.04558,48.40987,49.58027,50.0777,49.40911,49.51279,50.35304,49.68957,52.71536,52.43077,52.37268,54.23215,54.25134,55.53334,56.75031,57.37159,58.28843,60.35766,61.33321,61.01065,61.12325,61.75405,60.60599,62.78403,"SG",0,0,0.4640978,0.9281955,1.392293,1.392293,1.392293,1.392293,1.392293,1.392293,1.856391,1.392293,1.856391,6.033271,8.817858,12.53064,20.8844,26.45357,38.05602,47.80207,60.79681,71.47105,82.60941,99.78102,112.3117,123.45,135.9807,139.6934,150.8318,170.3239,180.534,188.4237,207.9158,214.4132,213.9491,237.154,244.5795,249.2205,245.5077,249.6846,269.1767,268.2485,283.5638,283.5638,282.6355,282.6355,286.3483,287.7406,"NLS",517.0049,593.5811,614.0013,656.6984,698.4672,723.9925,769.01,788.9662,800.5687,851.1553,851.6194,875.2884,884.1063,874.8243,906.3829,896.6369,907.3112,924.0187,915.6649,915.2008,916.5931,927.2673,913.3444,926.3392,916.129,884.1063,885.9626,880.3935,869.7192,864.15,858.5809,840.017,852.0835,843.7297,832.5914,840.9451,837.2324,824.2376,841.8734,846.0502,854.404,849.2989,860.9014,862.7578,883.178,878.073,879.0012,897.101
"Temozolomide","Temozolomide","S1237","L1700-03",194.15,"85622-93-1","free base","Autophagy","DNA/RNA Metabolism","","Mammalian","Nucleic acid metabolism","Temozolomide is a DNA damage inducer.","N1(N=NC2N(C1=O)C=NC=2C(N)=O)C",200,"http://www.selleckchem.com/products/Methazolastone.html","Ubiquitin",1,"a6","C2C12 Diff Tunicamycin","Con",48.62782,53.97614,59.52985,62.91694,62.88011,62.79502,59.38693,57.03084,54.9855,54.19755,50.43451,52.00513,50.7349,48.21674,47.44321,47.92467,47.21244,47.25256,45.97315,44.30302,43.65495,42.05109,42.74632,41.487,40.26676,41.71751,40.73635,39.54651,39.80029,39.14415,38.46795,37.96902,38.67892,37.51376,37.60217,37.7408,36.44487,36.37151,35.83374,35.2524,35.75473,35.91443,35.25034,35.29096,35.57325,35.31664,34.40324,34.35808,"SG",0.4640978,0.9281955,0,0,0,0,0,0,1.856391,3.248684,3.712782,4.640978,6.961466,12.53064,16.24342,19.02801,29.23816,35.73553,48.26617,63.58139,79.82481,99.78102,122.5218,143.8703,169.8598,196.7775,208.844,224.1592,233.9053,252.4692,261.7511,275.6741,304.9122,301.6635,318.3711,324.4043,334.6145,357.8194,356.4271,355.0348,349.9297,355.0348,355.0348,348.5374,364.7809,356.8912,346.681,352.2502,"NLS",581.9786,635.3499,694.7543,720.7438,774.5792,812.1711,839.0887,872.9679,906.847,930.0519,940.7262,958.3619,971.8207,949.08,946.7595,963.0029,964.8593,953.2568,961.1465,929.5878,930.5161,910.0957,897.5651,881.7858,848.8348,829.3427,812.6352,784.3253,746.2692,723.0643,705.8927,667.3726,666.9085,634.8857,604.2553,583.3709,561.5583,505.4025,496.5846,472.9156,461.3132,478.4848,433.9314,427.4341,412.5829,407.9419,395.4113,389.378
"Motesanib Diphosphate (AMG-706)","Motesanib Diphosphate (AMG-706)","S1032","L1700-01",569.44,"857876-30-3","diphosphate","VEGFR,PDGFR,c-Kit","VEGFR,KIT","Synthetic small molecule","Mammalian","Kinase","Motesanib Diphosphate (AMG-706) is a potent ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 2 nM/3 nM/6 nM, respectively; similar activity against Kit, ~10-fold more selective for VEGFR than PDGFR and Ret. Phase 1/2.","C1(=CN=CC=C1CNC2=C(C=CC=N2)C(=O)NC3=CC=C4C(=C3)NCC4(C)C).P(O)(=O)(O)O.P(O)(=O)(O)O",175,"http://www.selleckchem.com/products/Motesanib-Diphosphate.html","Protein Tyrosine Kinase",1,"a7","C2C12 Diff Tunicamycin","Con",42.19407,47.49635,52.7631,56.05187,58.37057,56.23508,55.98468,53.14642,50.86303,49.91516,46.8348,46.72744,45.40602,44.24183,45.88085,45.92093,45.7465,44.46119,44.10126,42.97903,41.73504,42.71793,43.16768,41.97356,41.938,41.6543,42.27377,41.68697,41.58592,40.75583,40.90529,40.39699,39.77218,39.88125,39.92469,40.22089,39.76749,39.48096,39.51846,39.58817,38.50637,39.31034,38.50677,37.59201,37.951,37.4584,37.2746,37.39445,"SG",0.9281955,0.9281955,1.392293,1.392293,1.856391,2.320489,1.856391,1.392293,1.392293,2.784587,3.248684,5.105075,8.817858,9.281956,11.60244,11.13835,18.09981,25.98948,29.23816,38.05602,57.54812,74.71974,98.38873,127.1628,149.4395,175.429,184.2468,205.1312,221.3746,228.8002,254.7897,258.9666,271.4972,290.5252,292.8457,302.5917,316.5147,320.6916,318.3711,327.653,336.935,333.2222,339.2555,316.5147,329.0453,331.8299,338.7914,330.4376,"NLS",478.9489,533.2484,567.5916,609.3604,649.2728,670.1572,729.5617,738.3796,760.6563,786.1816,796.8559,806.6019,808.4583,807.5301,817.2762,829.3427,829.8068,822.3812,819.1326,827.4863,818.6685,820.989,816.348,806.1378,788.038,759.728,713.7823,707.285,671.0854,640.919,625.1397,587.0837,562.4865,553.2045,549.4918,528.6074,517.9331,492.4077,486.8386,476.1643,469.6669,446.9261,433.9314,414.9034,401.4446,406.0855,410.2624,398.1959
"Dienogest","Dienogest","S1251","L1700-03",311.42,"65928-58-7","free base","Estrogen/progestogen Receptor","Estrogen/progesterone receptor","Synthetic small molecule","Mammalian","Receptor","Dienogest is an orally active synthetic progesterone (or progestin). ","C1(CCC2=C3CC[C@]4([C@](CC[C@@]([C@](CCC(=C1)2)3[H])4[H])(O)CC#N)C)=O",199,"http://www.selleckchem.com/products/Dienogest.html","Endocrinology &amp; Hormones",1,"a8","C2C12 Diff Tunicamycin","Con",49.29949,54.32685,60.26636,66.17395,67.27287,69.44717,67.76463,65.42757,63.22945,61.94013,59.69979,60.30705,58.79737,58.28877,57.98954,58.50236,59.95966,60.48629,60.73186,60.59219,59.61635,60.41106,59.84457,59.67106,60.7503,59.45169,60.54811,60.03418,61.26242,61.42966,61.50248,59.92097,61.2739,59.67072,59.98522,60.16135,61.13065,60.79693,61.50079,60.3123,59.42673,59.61386,58.89713,58.68215,58.45235,58.07809,58.04562,57.40524,"SG",0.4640978,1.392293,1.392293,1.392293,0.9281955,1.392293,0.9281955,3.248684,3.248684,6.033271,7.425564,7.425564,7.425564,9.746053,11.60244,16.24342,19.02801,20.8844,34.80733,43.16109,64.04549,81.68121,110.4553,128.5551,157.3291,172.1803,198.1698,222.7669,247.8282,271.4972,290.9893,295.6303,316.5147,320.2274,327.1889,344.8246,361.9962,381.9525,381.9525,410.2624,404.6933,417.2239,423.2572,423.7213,432.5391,439.9647,436.2519,432.075,"NLS",585.2273,639.9908,698.9312,728.6335,801.4968,859.5091,913.8085,952.3286,968.108,996.4179,1000.595,1017.766,1016.374,1032.618,1034.474,1041.9,1049.325,1064.64,1074.85,1080.884,1085.525,1085.989,1087.845,1073.458,1063.248,1042.364,1021.479,998.2743,989.9205,957.4337,960.2183,928.1956,899.4214,873.8961,888.2831,881.7858,874.3602,866.0064,848.3707,837.6965,818.2043,802.8892,797.3199,790.8226,789.4303,766.2254,759.728,737.4514
"STF-62247","STF-62247","S1041","L1700-01",267.35,"315702-99-9","free base","Others","Other","Synthetic small molecule","Mammalian","Metabolism-related","STF-62247 shows selectivtoxicity and growth inhibition of renal cells lacking VHL; 25-fold greater sensitivity observed for cells with VHL deficiency compared to wild-type (VHL+).","N1=CC=C(C=C1)C2=CSC(=N2)NC3=CC=CC(=C3)C",198,"http://www.selleckchem.com/products/STF-62247.html","Others",1,"a9","C2C12 Diff Tunicamycin","Con",54.23614,56.8835,55.57975,58.82012,60.1861,62.74321,61.11694,61.99153,60.65123,58.76326,57.5532,54.97533,54.40725,52.04955,50.27127,49.29073,49.12542,47.63172,47.04947,47.04389,47.21188,45.68316,45.15363,45.09241,45.39664,44.64839,44.38107,45.03992,45.33108,45.06555,44.33058,44.83747,46.20214,45.24086,44.82862,45.23409,44.27684,43.46899,43.26813,43.49089,43.88456,43.65059,44.44207,43.31288,43.51389,43.38411,41.92957,42.23987,"SG",0.9281955,1.856391,1.856391,2.320489,1.392293,2.784587,1.856391,3.712782,5.569173,4.17688,5.105075,5.569173,7.425564,10.67425,10.21015,12.99474,17.17162,19.49211,25.52538,32.48684,38.98421,55.22763,59.86861,69.61466,72.86335,85.85809,88.64268,101.6374,111.3835,120.6654,120.6654,123.9141,144.7985,148.5113,157.3291,167.0752,184.2468,196.7775,212.5568,210.2363,232.513,241.3308,236.6899,240.4026,252.4692,262.6794,259.8947,245.9718,"NLS",610.7527,644.1677,677.5828,689.6493,727.2412,735.1309,762.9767,788.5021,791.7508,813.5634,773.1869,779.6843,747.1974,756.9435,739.7719,742.0923,717.0311,726.7771,719.8156,728.6335,708.6773,714.2465,704.0363,683.616,682.2237,680.3673,652.9855,637.2062,645.0959,620.4987,606.5758,582.9068,579.6581,566.1993,567.1275,549.0276,539.2816,512.364,500.7615,512.364,478.9489,463.6337,441.8211,448.7825,432.5391,410.2624,387.0575,389.378
